id,feature,price,notes,max count,group
0,簡單表情,$10,,10,
1,動態表情,$30+,視複雜度而定,10,
2,簡單動畫,$70+,視複雜度而定,10,
3,演出級動畫,$150+,視複雜度而定,10,
4,複雜尾巴／翅膀,$150+,視複雜度而定,10,
5,獸耳／角／尾巴／翅膀,$50,,10,
6,額外服裝層,$300+,"包含切換功能，視複雜度而定",2,
7,額外髮型,$100,,3,
8,簡單手部動作,$50,,7,
9,進階手部動作,$200,最多可追加 3 個,3,
10,前傾動作,$150,僅用於動畫,1,lean
11,前傾追蹤,$300+,"完整追蹤，視複雜度而定",1,lean
12,Q版形態,$150+,視複雜度而定,1,
13,特殊效果,$30,需提供已繪製完成的 PSD 素材,10,
14,現有項目的額外切換,$10,,10,
15,寵物／道具（例如：麥克風）,$100+,"需提供已繪製完成的 PSD 素材，視複雜度而定",5,
