feature,price,notes,max count
簡單表情,$10,,10
動態表情,$30+,視複雜度而定,10
簡單動畫,$70+,視複雜度而定,10
演出級動畫,$150+,視複雜度而定,10
複雜尾巴／翅膀,$150+,視複雜度而定,10
獸耳／角／尾巴／翅膀,$50,,10
額外服裝層,$300+,"包含切換功能，視複雜度而定",2
額外髮型,$100,,3
簡單手部動作,$50,,7
進階手部動作,$200,最多可追加 3 個,3
前傾動作,$150,僅用於動畫,1
前傾追蹤,$300+,"完整追蹤，視複雜度而定",1
Q版形態,$150+,視複雜度而定,1
特殊效果,$30,需提供已繪製完成的 PSD 素材,10
現有項目的額外切換,$10,,10
寵物／道具（例如：麥克風）,$100+,"需提供已繪製完成的 PSD 素材，視複雜度而定",5
