id,feature,price,notes,max count,group
0,简单表情,$10,,10,
1,动态表情,$30+,视复杂程度而定,10,
2,简单动画,$70+,视复杂程度而定,10,
3,演出级动画,$150+,视复杂程度而定,10,
4,复杂尾巴/翅膀,$150+,视复杂程度而定,10,
5,兽耳/角/尾巴/翅膀,$50,,10,
6,额外服装层,$300+,"包含切换功能，视复杂程度而定",2,
7,额外发型,$100,,3,
8,简单手部动作,$50,,7,
9,进阶手部动作,$200,最多可追加 3 个,3,
10,前倾动作,$150,仅用于动画,1,lean
11,前倾追踪,$300+,"完整追踪，视复杂程度而定",1,lean
12,Q版形态,$150+,视复杂程度而定,1,
13,特殊效果,$30,需提供已绘制完成的 PSD 素材,10,
14,现有项目的额外切换,$10,,10,
15,宠物/道具（例如：麦克风）,$100+,"需提供已绘制完成的 PSD 素材，视复杂程度而定",5,
